samples,slides,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,labels
CMB-BRCA_MSB-06586,MSB-06586-04-06,-0.14926981809511256,2.8464624554588784,-0.14926981809511256,-0.14926981809511256,0.5438773624648328,-0.14926981809511256,-0.14926981809511256,-0.14926981809511256,-0.14926981809511256,-0.14926981809511256,-0.14926981809511256,0.5438773624648328,-0.14926981809511256,-0.14926981809511256,-0.14926981809511256,-0.14926981809511256,-0.14926981809511256,0.5438773624648328,-0.14926981809511256,-0.14926981809511256,-0.14926981809511256,-0.14926981809511256,-0.14926981809511256,-0.14926981809511256,-0.14926981809511256,-0.14926981809511256,-0.14926981809511256,-0.14926981809511256,-0.14926981809511256,-0.14926981809511256,-0.14926981809511256,-0.14926981809511256,-0.14926981809511256,-0.14926981809511256,1
CMB-BRCA_MSB-08876,MSB-08876-01-04,-0.577057958834527,0.5215543298335826,-0.577057958834527,1.0323799535995732,1.502383582845309,-0.577057958834527,0.8092364022853636,0.11608922172541829,-0.577057958834527,1.0323799535995732,-0.577057958834527,1.7255271341595186,1.214701510393528,-0.577057958834527,-0.577057958834527,0.8092364022853636,-0.577057958834527,-0.577057958834527,-0.577057958834527,0.11608922172541829,0.11608922172541829,-0.577057958834527,0.11608922172541829,0.11608922172541829,0.5215543298335826,1.214701510393528,-0.577057958834527,-0.577057958834527,-0.577057958834527,-0.577057958834527,-0.577057958834527,-0.577057958834527,-0.577057958834527,-0.577057958834527,1
CMB-BRCA_MSB-09060,MSB-09060-01-20,-0.5019432670323226,2.7169325578358783,0.19120391352762264,-0.5019432670323226,1.2898162021957325,-0.5019432670323226,-0.5019432670323226,-0.5019432670323226,1.5774982746475132,2.137114062582936,0.19120391352762264,-0.5019432670323226,0.19120391352762264,0.19120391352762264,-0.5019432670323226,-0.5019432670323226,-0.5019432670323226,0.19120391352762264,-0.5019432670323226,-0.5019432670323226,0.19120391352762264,0.5966690216357871,0.19120391352762264,-0.5019432670323226,-0.5019432670323226,-0.5019432670323226,-0.5019432670323226,-0.5019432670323226,-0.5019432670323226,0.19120391352762264,-0.5019432670323226,-0.5019432670323226,0.19120391352762264,-0.5019432670323226,1
CMB-PCA_MSB-01118,MSB-01118-03-02,1.2260048967274275,-0.288122835902348,1.4083264535213822,0.5328577161674823,1.576661768340597,1.1851829022071725,-0.20111145891271817,-0.3834330157066727,1.5480883958965408,1.0516515095826497,0.25842087046572204,0.35850432902270446,1.9679422414568049,0.7151792729614368,1.0028613454132178,-0.3834330157066727,0.2043536491954462,-0.8942586394726635,1.2058021894099082,-0.7401079596454052,1.7447986901425951,-0.04696077908545989,-0.7401079596454052,-0.7401079596454052,0.6098187573036106,-2.6860181087007184,0.6098187573036106,-2.6860181087007184,-0.3834330157066727,0.5328577161674823,-1.5874058200326089,-1.9928709281407733,-1.2997237475808279,-2.6860181087007184,6
CMB-PCA_MSB-01497,MSB-01497-01-01,-0.3127286405797631,-0.3127286405797631,0.38041853998018227,-0.3127286405797631,1.7667129011000728,-0.3127286405797631,-0.3127286405797631,-0.3127286405797631,-0.3127286405797631,1.7667129011000728,-0.3127286405797631,-0.3127286405797631,0.7858836480883467,-0.3127286405797631,-0.3127286405797631,-0.3127286405797631,-0.3127286405797631,0.38041853998018227,-0.3127286405797631,0.38041853998018227,0.7858836480883467,0.7858836480883467,-0.3127286405797631,-0.3127286405797631,0.7858836480883467,-0.3127286405797631,-0.3127286405797631,-0.3127286405797631,-0.3127286405797631,-0.3127286405797631,-0.3127286405797631,-0.3127286405797631,-0.3127286405797631,-0.3127286405797631,6
CMB-PCA_MSB-02472,MSB-02472-03-01,-1.9583259213321411,1.538181640134339,-1.9583259213321411,1.5970221401572726,1.2997706166893408,2.290169320717218,1.1771682945970086,-1.2651787407721957,1.870315475156954,-0.012415772276827886,0.9320458365640235,-1.9583259213321411,1.7052357247975054,1.8258637125861201,1.6792602383942445,-1.9583259213321411,-1.9583259213321411,0.749724279770069,1.5970221401572726,0.43956935146622944,0.1211156203476948,-1.2651787407721957,1.0374063522218497,-1.9583259213321411,-1.9583259213321411,-1.2651787407721957,2.067025769403008,-1.9583259213321411,1.475661283153005,1.8258637125861201,-0.5720315602122505,-1.2651787407721957,-1.9583259213321411,-1.9583259213321411,6
CMB-PCA_MSB-02729,MSB-02729-01-03,-0.21389407036970728,-0.21389407036970728,1.1724002907501834,-0.21389407036970728,2.494156130732503,-0.21389407036970728,-0.21389407036970728,-0.21389407036970728,0.8847182182984024,0.47925311019023803,-0.21389407036970728,-0.21389407036970728,-0.21389407036970728,-0.21389407036970728,-0.21389407036970728,-0.21389407036970728,-0.21389407036970728,-0.21389407036970728,-0.21389407036970728,-0.21389407036970728,-0.21389407036970728,0.47925311019023803,-0.21389407036970728,-0.21389407036970728,0.47925311019023803,-0.21389407036970728,-0.21389407036970728,-0.21389407036970728,-0.21389407036970728,-0.21389407036970728,-0.21389407036970728,-0.21389407036970728,-0.21389407036970728,-0.21389407036970728,6
CMB-PCA_MSB-03973,MSB-03973-01-02,0.2219500245320138,-0.47119715602793155,1.3205623132001236,-0.47119715602793155,1.4747129930273817,0.2219500245320138,-0.47119715602793155,-0.47119715602793155,1.7260274213082878,1.138240756406169,-0.47119715602793155,0.2219500245320138,1.138240756406169,-0.47119715602793155,-0.47119715602793155,-0.47119715602793155,1.138240756406169,-0.47119715602793155,-0.47119715602793155,-0.47119715602793155,0.9150972050919591,0.2219500245320138,0.6274151326401782,-0.47119715602793155,-0.47119715602793155,-0.47119715602793155,-0.47119715602793155,-0.47119715602793155,-0.47119715602793155,-0.47119715602793155,-0.47119715602793155,-0.47119715602793155,-0.47119715602793155,-0.47119715602793155,6
CMB-PCA_MSB-04415,MSB-04415-01-20,0.5137906373090395,-0.5848216513590703,2.6340541735091305,-0.5848216513590703,2.8163757303030854,0.10832552920087508,-0.5848216513590703,0.5137906373090395,1.0246162610750302,0.8014727097608204,-0.5848216513590703,0.10832552920087508,1.0246162610750302,-0.5848216513590703,-0.5848216513590703,-0.5848216513590703,-0.5848216513590703,-0.5848216513590703,-0.5848216513590703,0.8014727097608204,0.10832552920087508,0.10832552920087508,0.10832552920087508,-0.5848216513590703,-0.5848216513590703,-0.5848216513590703,-0.5848216513590703,-0.5848216513590703,-0.5848216513590703,1.0246162610750302,-0.5848216513590703,-0.5848216513590703,-0.5848216513590703,-0.5848216513590703,6
CMB-PCA_MSB-04780,MSB-04780-03-02,-0.12888313631393772,1.4805547761201625,-0.12888313631393772,-0.12888313631393772,0.5642640442460076,-0.12888313631393772,-0.12888313631393772,-0.12888313631393772,-0.12888313631393772,0.5642640442460076,-0.12888313631393772,0.5642640442460076,-0.12888313631393772,-0.12888313631393772,-0.12888313631393772,-0.12888313631393772,-0.12888313631393772,-0.12888313631393772,-0.12888313631393772,0.5642640442460076,-0.12888313631393772,-0.12888313631393772,-0.12888313631393772,-0.12888313631393772,-0.12888313631393772,-0.12888313631393772,-0.12888313631393772,-0.12888313631393772,-0.12888313631393772,-0.12888313631393772,-0.12888313631393772,-0.12888313631393772,-0.12888313631393772,-0.12888313631393772,6
