samples,slides,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,labels
TCGA-XF-A9SV,TCGA-XF-A9SV-01Z-00-DX1,-0.9405489439591090,2.892430854128590,2.003890035207330,0.28322648766300700,1.6841196482040500,1.6396678856332200,0.28322648766300700,0.445745417160782,1.0053612050962000,1.033532082062900,-0.6040767073378960,2.918073284741920,0.445745417160782,-1.856839675833260,-1.4513745677251000,0.08907047322204950,-1.856839675833260,1.4753648343419400,-1.4513745677251000,2.245803689203530,-0.9405489439591090,-0.47054531471337300,-0.3527622790569890,-0.06508020660520850,-0.7582273871651540,2.0651336604480500,-2.2252398382988800,-2.2252398382988800,-2.5499868563932100,0.15806334470900100,-1.856839675833260,3.3875493486892200,-2.2252398382988800,-2.2252398382988800,0
TCGA-ZF-A9RN,TCGA-ZF-A9RN-01Z-00-DX1,0.8347079586921820,1.6762751443704,-0.1869432888398000,1.2534182935503700,0.8347079586921820,1.6762751443704,-0.0815827731819736,-2.3841678661760200,1.2793937799536300,1.2793937799536300,1.081568036623710,1.8205247532149500,0.25488946343923900,-0.0815827731819736,1.7902194037196200,0.8739286718454630,-1.2855555775079100,-1.691020685616070,0.5062038917201460,-0.5924083969479640,-1.691020685616070,-0.5924083969479640,1.0498193383091300,-0.774729953741919,0.25488946343923900,1.3770322495175400,2.9339521276682000,-2.609916716401990,-1.2855555775079100,-1.691020685616070,-2.3841678661760200,1.7747152171836500,-2.609916716401990,-2.609916716401990,0
TCGA-G2-AA3B,TCGA-G2-AA3B-01Z-00-DX5,1.5359355149514700,1.6601258951828500,0.7831962371892790,1.8400113971789300,0.46583839659138100,0.3236639078108380,0.5129059074493670,-0.10285460949515800,1.3302015175327700,0.7474781545871990,1.3453151553428200,0.9742514739519880,1.4082899545042100,1.12217160402861,0.05433097402725370,0.7009581389523070,0.8911848752533740,1.7407299275974800,0.5687863658438240,-0.4266416865890560,1.2002893832925600,-1.8735606695253800,-0.2153325929218490,1.641709168396620,-0.061181913094590500,-2.007092062149900,-2.5667078500853300,-2.343564298771120,-2.161242741977160,1.552329324727150,-1.8735606695253800,-3.9530022112052200,-0.8619597578469010,-3.9530022112052200,0
TCGA-K4-A83P,TCGA-K4-A83P-01Z-00-DX1,2.361819157802330,0.1927654574328080,2.6394508944006100,0.8079510965230410,1.5537420105684100,0.030246527935033500,0.3750870142267630,-0.5003817231271380,2.581528246667910,1.514521297415130,2.3560884830933500,0.492870049883146,0.2880756372371330,1.4597130609201300,0.5292376940540210,-1.7043545274530700,-0.2380174586596460,0.2880756372371330,1.204366369111290,-0.7235252744413470,1.3866879259052400,-1.4166724550012900,-0.2380174586596460,-0.5003817231271380,-0.030378093881402000,-2.8029668161211800,-2.5626111359258500,-2.5626111359258500,0.08740494177498090,-0.16390948650592500,-2.5626111359258500,-0.7235252744413470,-0.8570566670658700,-2.5626111359258500,0
TCGA-FD-A62P,TCGA-FD-A62P-01Z-00-DX1,1.4026529189282900,3.3063303043603300,3.9071041647892600,0.5376554814416880,2.5186569503082700,-1.738836973278300,-1.1363209521299800,-2.2349332407980900,1.4026529189282900,2.3997957474315400,-0.28902309174278000,3.4787995647112800,-0.8486388796782030,-2.2349332407980900,-1.738836973278300,-1.541786060238150,-1.1363209521299800,-2.2349332407980900,-2.2349332407980900,3.51126994974206,0.5982801032581230,-1.1363209521299800,1.5492563931201700,-0.4431737715700380,0.0676518521959526,2.0277466362432200,-1.738836973278300,-1.738836973278300,0.0676518521959526,-1.738836973278300,-1.738836973278300,1.7163104777833300,-1.738836973278300,-0.8486388796782030,0
TCGA-G2-A2EC,TCGA-G2-A2EC-01Z-00-DX8,1.0694194280592500,1.254469499506410,2.4112992837383900,-0.06592486987758940,1.533256542389320,-1.87830362630838,-0.38821247150684500,0.2835815845825310,1.2184045645856100,2.1799818860980200,-1.4320165236799600,1.8458826416377000,1.25719058962077,0.136599394233885,0.07649547016417910,-0.006501449406788320,-0.7590720504375350,0.20892005581351100,0.3795455728442750,1.68060950134553,0.9363563098520880,-0.25644319387572300,1.0015968317204900,2.3301133921735700,1.4358823783641500,1.2296406378525400,-2.165985698760160,-2.617404089702560,-2.011835018932900,-1.3550554825438300,-3.041454436114060,-2.165985698760160,-1.283596518561690,-3.041454436114060,0
TCGA-ZF-A9R0,TCGA-ZF-A9R0-01Z-00-DX1,2.8723256194516000,2.050121326662060,2.9582152913320300,-1.4362338633404000,1.5594984102135900,0.1042111776067450,-1.8416989714485700,-2.2680141709774200,2.050121326662060,3.0296742553141800,0.9915143726076470,2.0398648264948700,-1.4362338633404000,0.46088612154547700,-0.9254082395744140,-2.534846152008510,-0.45540461032867800,-2.2680141709774200,0.7232503860129680,1.3153014497015400,1.8718730952557400,-0.049939502220513400,0.760990713995815,-0.7430866827804590,-0.45540461032867800,-0.049939502220513400,-1.1485517908886200,-2.2680141709774200,-2.2680141709774200,-1.1485517908886200,-2.2680141709774200,1.976013354508340,-0.45540461032867800,-0.7430866827804590,0
TCGA-XF-A8HI,TCGA-XF-A8HI-01Z-00-DX1,0.3685467028106160,-0.2466389362796170,1.2574384604966600,1.4850166088787300,0.6288298010742830,1.9450145960071500,1.200280046656710,-1.8560768487137200,0.5188289058599540,1.6479779183881500,0.3685467028106160,1.3527486403009800,1.7880667115588300,-1.8560768487137200,-1.1629296681537700,0.25413635163287200,1.6479779183881500,-1.0451466324973900,0.6288298010742830,0.6288298010742830,0.764961975398863,-0.8444759370352380,0.015725328187874000,-0.6774218523720710,0.8519733523884930,1.2902282833196500,-0.3519994519374430,-2.8641605359118600,-1.0451466324973900,-1.2964610607783000,0.6288298010742830,-0.29793223066716700,-2.8641605359118600,-2.8641605359118600,0
TCGA-FD-A6TC,TCGA-FD-A6TC-01Z-00-DX1,2.342033106309330,1.5840252915473500,2.1568087898574200,1.3660231397335600,1.2578095550933200,0.8594619147540220,-1.1989262177279800,-1.892073398287930,1.1524490394355000,2.0065265868080800,-0.5057790371680360,1.4160335603082200,-0.04624670778959580,0.6469004727703500,-2.6447265314030700,1.6440433012736000,-0.4257363294944990,-1.1989262177279800,1.8051048586407000,1.2719941900852800,0.005046586597954320,0.10035676640228000,0.6981937671579000,-0.793461109619817,1.4401311118872800,-0.2180969647162550,-1.6043913258361500,-2.6447265314030700,-1.892073398287930,-2.2975385063960900,-2.990685686956040,-0.10031392905987200,0.998298359608238,-2.2975385063960900,0
TCGA-G2-A2EJ,TCGA-G2-A2EJ-01Z-00-DX7,2.308031244808700,1.510905718817880,1.4809969474253000,0.8122183578823150,0.8662855791525910,-0.058815782403718800,0.7068578422244890,0.31366282670813900,1.4102405266784600,1.5576768330102700,1.1136937524664300,1.0915321806635800,1.6689949622240600,1.3406655829981300,0.7859504310617050,-0.2536041079628030,0.751130665902477,0.7471858876114610,0.8836773218644610,-2.7067620594362200,1.5836973817121700,0.16962345648520100,-1.0973241470021200,-0.8741805956879130,0.9599995894240940,-2.078153400013850,-1.8417646219496200,-2.743836031693740,-0.8943833030054330,0.30754659969070300,-2.301296951328060,-4.786203601116060,0.009586944480681760,-2.743836031693740,0
