samples,slides,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,labels
GTEX-N7MS-2126,GTEX-N7MS-2126,-0.8430736556227585,2.7122744058666552,-0.8430736556227585,3.3000610707687743,1.6418329941652419,1.1028364934325547,1.7218757018387782,-0.8430736556227585,-0.8430736556227585,-0.14992647506281315,-0.8430736556227585,0.9486858136052966,-0.14992647506281315,-0.8430736556227585,-0.8430736556227585,-0.8430736556227585,-0.8430736556227585,1.4595114373712872,-0.8430736556227585,-0.8430736556227585,-0.8430736556227585,-0.8430736556227585,-0.8430736556227585,-0.8430736556227585,-0.8430736556227585,-0.8430736556227585,-0.8430736556227585,-0.8430736556227585,-0.14992647506281315,-0.8430736556227585,2.7945125041036274,3.3158094277369132,-0.8430736556227585,-0.8430736556227585,0
GTEX-OOBJ-1926,GTEX-OOBJ-1926,-1.6541177875074358,4.04632578588325,-0.9609706069474905,-1.6541177875074358,1.7798694169777103,-1.6541177875074358,2.4567560766658754,1.678086722667768,0.7437774852909347,0.9849395421078226,-1.6541177875074358,3.1250057056040936,0.9849395421078226,-1.6541177875074358,-1.6541177875074358,-1.6541177875074358,-0.9609706069474905,2.3348662590568385,-1.6541177875074358,0.5431067898287835,-0.2678234263875452,-1.6541177875074358,-0.5555054988393262,0.13764168172061905,-0.2678234263875452,1.7131780424790382,-1.6541177875074358,-1.6541177875074358,0.6484673054866098,-1.6541177875074358,-0.5555054988393262,3.6033775845203455,0.29179236154787735,-1.6541177875074358,0
GTEX-OXRK-1926,GTEX-OXRK-1926,0.09369967938377087,3.8471176546352783,0.9409975397709744,-1.0049126092843388,2.253183928737143,-0.3117654287243935,-1.0049126092843388,-1.0049126092843388,0.09369967938377087,0.7868468599437162,-1.0049126092843388,3.1694746606112982,-1.0049126092843388,-1.0049126092843388,-1.0049126092843388,-1.0049126092843388,-1.0049126092843388,1.7676761129554424,-1.0049126092843388,0.09369967938377087,2.1731412210636067,-0.3117654287243935,0.09369967938377087,-1.0049126092843388,-1.0049126092843388,1.297672483709707,-1.0049126092843388,-1.0049126092843388,-1.0049126092843388,-1.0049126092843388,-1.0049126092843388,3.1059612548889723,-1.0049126092843388,-1.0049126092843388,0
GTEX-PW2O-1026,GTEX-PW2O-1026,-0.5512617073484878,3.4315303689678656,0.42956754566323846,-1.6498739960165976,2.3931772718179527,0.14188547321145759,1.294564983149843,0.42956754566323846,-0.9567268154566522,0.14188547321145759,-1.6498739960165976,2.460999868156714,0.2960361530387158,-1.6498739960165976,-1.6498739960165976,0.5473505813196218,-0.5512617073484878,0.2960361530387158,-1.6498739960165976,0.8350326537714029,-0.5512617073484878,-0.9567268154566522,-0.2635796348967069,1.3458582775373935,-0.5512617073484878,1.294564983149843,-1.6498739960165976,-1.6498739960165976,-0.9567268154566522,-1.6498739960165976,1.8764865285995638,3.929855829969625,-0.9567268154566522,-1.6498739960165976,0
GTEX-PWN1-1926,GTEX-PWN1-1926,-0.21814508785250467,3.1662451754932697,2.4899051132497054,-1.6044394489723952,1.79675793268976,-1.6044394489723952,-0.5058271603042857,0.004998463461705117,1.6144363758958054,1.3912928245815956,-0.9112922684124499,3.2158421166326416,0.7934558238259752,-1.6044394489723952,-1.6044394489723952,0.7934558238259752,-1.6044394489723952,0.004998463461705117,-1.6044394489723952,1.6536570890490867,0.3414707000829181,-1.6044394489723952,1.3912928245815956,1.0346178806428634,-0.5058271603042857,1.9509086125170183,-1.6044394489723952,-1.6044394489723952,-0.9112922684124499,-1.6044394489723952,-1.6044394489723952,2.2667615619354957,-1.6044394489723952,-1.6044394489723952,0
GTEX-QLQW-0826,GTEX-QLQW-0826,-1.2684642234555659,2.063740286719638,1.7760582142678571,-1.2684642234555659,2.0273726425487633,-1.2684642234555659,0.5232952457724891,1.2164424263324345,2.2578963011605953,0.11783013766432475,-0.5753170428956206,2.1327331582065896,0.8109773182242701,-1.2684642234555659,-0.5753170428956206,1.2164424263324345,-1.2684642234555659,0.6774459255997474,-1.2684642234555659,1.2164424263324345,-0.5753170428956206,-1.2684642234555659,1.2164424263324345,0.11783013766432475,-1.2684642234555659,2.858670161589526,-1.2684642234555659,-1.2684642234555659,-1.2684642234555659,-1.2684642234555659,-1.2684642234555659,0.5232952457724891,-1.2684642234555659,-1.2684642234555659,0
GTEX-QV31-0926,GTEX-QV31-0926,-0.37943347368820385,4.006751171134342,0.6013957793235224,-0.7848985817963682,2.048314762259848,0.9198495104420571,0.13139215007778696,-0.09175140123642289,0.9198495104420571,0.7191788149799058,-1.4780457623563135,3.3661413241022777,0.3137137068717415,-1.4780457623563135,-1.4780457623563135,-0.09175140123642289,-1.4780457623563135,1.8892500676301605,-1.4780457623563135,-0.7848985817963682,1.0869035951052233,-1.4780457623563135,-0.7848985817963682,-1.4780457623563135,-0.7848985817963682,1.1610115672589452,-1.4780457623563135,-1.4780457623563135,0.13139215007778696,-1.4780457623563135,-0.7848985817963682,4.235687043153056,-1.4780457623563135,-0.7848985817963682,0
GTEX-S4UY-0926,GTEX-S4UY-0926,-0.20618689748336838,3.7641050160687533,2.501863303618842,-1.592481258603259,1.9628668028861547,-1.592481258603259,-0.20618689748336838,0.7101038343907867,1.739723251571945,1.8087161230588964,-1.592481258603259,3.2827160645978926,0.48696028307657696,-1.592481258603259,-1.592481258603259,0.8054140141951115,-0.8993340780433137,1.1155689424989512,-1.592481258603259,0.8924253911847414,0.9724680988582777,-1.592481258603259,1.3519577205631814,-0.8993340780433137,-1.592481258603259,2.1687188570903033,-1.592481258603259,-0.8993340780433137,-1.592481258603259,-1.592481258603259,-1.592481258603259,1.8415059458818872,-1.592481258603259,-1.592481258603259,0
GTEX-S7SE-2326,GTEX-S7SE-2326,-1.4849404584417174,3.068936433158824,-0.09864609732182669,-1.4849404584417174,1.8472640517334866,3.294183034669812,1.6061019949165987,1.0800088990198193,-0.791793277881772,0.3068190107863378,-1.4849404584417174,1.916256923220438,0.46096969061359605,-1.4849404584417174,-1.4849404584417174,-0.791793277881772,-1.4849404584417174,1.916256923220438,-0.791793277881772,-0.09864609732182669,-1.4849404584417174,-0.791793277881772,-1.4849404584417174,-0.791793277881772,-1.4849404584417174,2.1259774542025074,-1.4849404584417174,-1.4849404584417174,-1.4849404584417174,0.7122841188945022,3.751501504388232,2.8588649634119667,-1.4849404584417174,-1.4849404584417174,0
GTEX-S95S-0626,GTEX-S95S-0626,-0.18298937694444412,3.42792853569978,2.3427392673638114,-0.8761365575043895,1.8319136435978207,-0.8761365575043895,-0.8761365575043895,0.2224757311637202,-0.8761365575043895,0.2224757311637202,-0.8761365575043895,3.530582689759864,-0.8761365575043895,-0.8761365575043895,-0.8761365575043895,-0.18298937694444412,-0.8761365575043895,-0.18298937694444412,-0.8761365575043895,1.4264485354896563,-0.18298937694444412,-0.8761365575043895,-0.18298937694444412,0.5101578036155012,-0.8761365575043895,0.9156229117236655,-0.8761365575043895,-0.8761365575043895,-0.8761365575043895,-0.8761365575043895,-0.8761365575043895,3.1311966277280816,-0.8761365575043895,-0.8761365575043895,0
GTEX-SIU7-1026,GTEX-SIU7-1026,-1.8364721625314102,3.758239217070429,1.2545702908269056,2.114771556050017,1.4593647034729187,-1.1433249819714648,0.8025851670838484,0.936116559708371,-0.04471269330335528,-0.22703425009730996,-1.8364721625314102,2.8730580387809237,0.46611293046263536,-1.8364721625314102,-1.1433249819714648,0.8025851670838484,-1.8364721625314102,0.7284771949301264,-1.8364721625314102,1.7470467759246997,0.3607524148048092,-1.8364721625314102,0.64843448725659,0.2429693791484257,-1.8364721625314102,2.5202366641581815,-1.8364721625314102,-1.8364721625314102,1.2080502751920128,-1.8364721625314102,-0.22703425009730996,1.8011139971949754,-0.7378598738633005,-1.8364721625314102,0
